"","pop","tree","branch","Diameter","Length","LA","Leaf_num","Wet_mass","partially_rehydrated","notes","Al_As","DW_Leaf","DW_stem","LDMC","LMA","LMF","notes2","burned","pop.newcode","leafsize","ml_ms"
"53","SMR","3",2,1.63,3.77,27.032,12,NA,"no","",12.95465636,0.3537,0.1322,NA,0.013084492,0.727927557,"","yes","SMR",2.25266666666667,2.67549167927383
"54","SMR","3",3,1.25,3.2,35.545,12,NA,"no","",28.96552602,0.4327,0.1175,NA,0.012173301,0.786441294,"","yes","SMR",2.96208333333333,3.68255319148936
"55","SMR","4",1,1.91,2.5,50.465,10,NA,"no","",17.61353271,0.7377,0.1385,NA,0.014618052,0.841931066,"","yes","SMR",5.0465,5.32635379061372
"56","SMR","4",2,1.895,3,23.69,7,NA,"no","",8.399811872,0.2994,0.1009,NA,0.012638244,0.747939046,"","yes","SMR",3.38428571428571,2.96729435084242
"57","SMR","4",3,2.34,5.3,76.595,15,NA,"no","",17.81113654,1.1268,0.3887,NA,0.014711143,0.743516991,"","yes","SMR",5.10633333333333,2.89889374839208
"58","SMR","5",1,1.44,2.14,21.081,6,NA,"no","",12.94461539,0.2896,0.0585,NA,0.013737489,0.831944843,"","yes","SMR",3.5135,4.95042735042735
"59","SMR","5",2,1.805,3.65,23.346,11,NA,"no","",9.12391007,0.3173,0.1175,NA,0.013591193,0.72976081,"","yes","SMR",2.12236363636364,2.70042553191489
"60","SMR","5",3,1.32,2.25,21.332,7,NA,"no","",15.58858301,0.2632,0.0409,NA,0.012338271,0.865504768,"","yes","SMR",3.04742857142857,6.43520782396088
"61","CNT","23",1,1.475,2.12,52.941,9,1.096,"no","",30.98353935,0.6382,0.0873,0.58229927,0.012054929,0.879669194,"","","CNT",5.88233333333333,7.31042382588774
"62","CNT","23",2,1.82,3.6,52.645,9,1.048,"no","",20.2365876,0.6061,0.1942,0.578339695,0.011512964,0.757340997,"","","CNT",5.84944444444444,3.12100926879506
"63","CNT","23",3,1.68,2.99,66.358,12,1.504,"no","",29.93626757,0.865,0.1348,0.575132979,0.013035354,0.865173035,"","","CNT",5.52983333333333,6.41691394658754
"64","CNT","272",1,1.76,6.2,26.551,11,0.599,"no","",10.91386241,0.3507,0.2083,0.585475793,0.013208542,0.627370304,"","","CNT",2.41372727272727,1.68362938070091
"65","CNT","272",2,1.88,8.3,60.304,14,1.346,"no","",21.72467804,0.7662,0.295,0.569242199,0.012705625,0.722012816,"","","CNT",4.30742857142857,2.59728813559322
"66","CNT","272",3,2,11.6,64.71,20,1.425,"no","",20.59844024,0.8037,0.3791,0.564,0.012420028,0.679489347,"","","CNT",3.2355,2.12002110261145
